Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GHANA;286;305;325;348;373;399;439;483;531;584;429;497;587;698;803;931;821;903;994;825;897;933;969;956;1130;355;624
GREECE;10130;9233;10070;10916;12164;13096;14057;14180;13969;13313;14765;16039;16165;15939;14915;15007;16427;15518;17920;22033;23599;24799;27194;30123;31348.4;7374.4;14705
GRENADA;108;108;111;116;125;129;123;132;142;134;99;119;130;130;114;110;118;125;128;150;155;156;168;186;188;54.2;47
GUADELOUPE;640;625;660;580;561;603;521;NULL;439;456;372;375;408;412;347;392;317;325;487;486;512;581;650;735;NULL;NULL;NULL
GUAM;1362;1373;1382;1137;1162;1287;1159;1059;910;1160;1228;1212;1225;1142;1053;1197;1160;1308;1334;1343;1409;1536;1545;1549;1667;328;79
GUATEMALA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1448;1527;1055;1119;1160;1200;1224;1371;1473;1585;1667;1781;1752.4;395.7;602.1
GUINEA;NULL;12;17;23;27;33;38;43;44;45;45;46.1;30;24;NULL;12.4;131;96;56;33;35;63;99;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;7.8;NULL;NULL;NULL;5;11.6;15.6;18;16;22.3;36.7;35.4;35.5;36.1;43.8;45.2;49.5;55;52.4;NULL;NULL
GUYANA;106;92;76;66;75;105;99;104;101;122;117;113;134;130;141;152;157;177;200;206;207;235;247;287;315;86.5;158.3
HAITI;145;150;149;147;143;140;142;140;136;96;112;108;386;258;387;255;349;349;420;465.2;516;445;467;447;286;203;148
HONDURAS;271;263;307;321;371;471;518;550;611;641;673;739;804;869;836;863;871;895;863;868;880;838;850;847;724;204;459
HONG KONG, CHINA;NULL;NULL;NULL;7137;7837;8814;8878;10689;9676;13655;14773;15821;17154;17319;16926;20085;22316;23770;25661;27770;26686;26553;27884;29263;23752;1359;89.2
HUNGARY;2878;2979;2887;2871;2789;2992;3070;3013;2948;12212;9979;9259;8638;8814;9058;9510;10250;10353;10624;12140;14316;15255;15785;17552;16937;7417;7929.1
ICELAND;190;201;202;232;263;303;301;285;317;360;374;422;485;502;494;489;566;673;807.3;997;1289;1792;2225;2343.8;2013;486.3;698
INDIA;2124;2288;2374;2359;2482;2649;2537;2384;2726;3457;3919;4447;5082;5283;5168;5776;6309;6578;6968;13107;13284;14570;NULL;NULL;17754;6291;6989
INDONESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9963;11072;12948;13396;15455;3915.4;1546.3
IRAN, ISLAMIC REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;882
IRAQ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;4818;5289;5587;6064;6403;6646;6353;6476;6764;6953;7333;8001;8332;8026;7189;7134;7630;7550;8260;8813;9528;10100;10338;10926;10951;NULL;NULL
ISRAEL;2215;2100;2010;1942;2312;2417;1196;861.9;1063;1505.6;1903;1825;2067;2572;2321;2803;2820;2886;2962;2927;2799;2900;3613;4121;4552;831;397
ITALY;31052;34080;34692;34933;36516;41181;39563;39799;39604;37071;36513;41058;43654;42734;43239;43626;46119;46360;47704;48576;50732;52372;58253;61567.2;64513;25190;26888
JAMAICA;1147;1162;1192;1225;1248;1323;1277;1266;1350;1415;1479;1679;1701;1767;1831;1922;1952;1986;2008.4;2080;2123;2182;2353;2473;2681;880.4;1464
JAPAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
JORDAN;1075;1106;1132;1772;1790;1580;1672;2384;2353;2853;2987;3225;3431;3729;3789;4207;3960;4162;3945;3990;3761;3567;3843.5;4150;4488.4;1067;2012
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;1471;1845;2832;2410;3073;3143;3468;3876;3005;2755;2991;4093;4437;4926;4560;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KENYA;918;947;928;792;862;899;841;838;927;1199;1399;1464;1686;1141;1392;1470;1750;1619;1434;1261;1114;1268;1364;NULL;NULL;NULL;NULL
KIRIBATI;3.9;4.2;5.1;5.7;5.1;4.8;4.6;4.9;4.9;3.4;4.1;4.4;4.7;3.9;3.9;4.7;5.3;4.9;5.9;5;3.9;5.7;5.8;7.1;7.9;1.4;0.07
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KUWAIT;72;76;79;77;84;78;73;96;94;91;104;185;293;259;297;207;269;300;307;198;182;203;183;200;153;86;85
KYRGYZSTAN;36;42;87;59;48;59;99;140;NULL;NULL;NULL;185;243;304;283;259;337;348;415;413;402;321;421;423;235;69;144
LAO PEOPLE´S DEMOCRATIC REPUBLIC;60;93;193;200;259;191;173;215;196;407;672;842;1142;1295;1239;1670;1894;2291;2700;3164;3543;3315;3257;3770;4384;811.6;NULL
LATVIA;539;565;635;576;544;509;591;848;971;1079;1116;1535;1653;1684;1323;1373;1493;1435;1536;1843;2024;1793;1949;1946;1935;636;478
LEBANON;450;424;558;631;673;742;837;956;1016;1278;1140;1063;1017;1333;1844;2168;1655;1366;1274;1355;1518;1688;1857;1964;1936;414;890
LESOTHO;87;134;144;150;186;NULL;NULL;NULL;NULL;NULL;NULL;347;292;285;320;414;397;317;320;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIBYA;56;88;50;32;178;174;169;135;142;43;81;42;38;34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LIECHTENSTEIN;59;56;57;59;60;61.6;56.5;48.7;49;48.5;49.8;54.9;72.8;72.9;66.5;64.3;67;62.4;59.6;61.3;56.7;69.1;79.3;85.3;98.1;58.4;70.3
LITHUANIA;650;832;1012;1416;1422;1083;1271;1428;1491;1800;2000;2180;1486;1611;1341;1507;1775;1900;2012;2063;2071;2296;2523;2825;2875;937;948
LUXEMBOURG;768;724;778;789;863;852;836;885;867;878;913;908;914;877;847;805;874;950;945;1038;1090;1054;1046;1018;1041;525;756
MACAO, CHINA;4202;4690;3836;4517;5050;5197;5842;6565;6309;8324;9014;10683;12945;10610;10402;11926;12925;13577;14268;14566;14308;15703.6;17255;18493;18633;2822;3697
MADAGASCAR;75;83;101;121;138;160;170;62;139;229;277;312;344;375;163;196;225;256;196;222;244;293;255;291;384;68.3;7.8
MALAWI;192;194;207;220;254;228;266;383;424;427;438;638;735;742;755;746;767;770;795;819;805;849;837;871;978;199;432
MALAYSIA;7469;7138;6211;5551;7931;10222;12775;13292;10577;15703;16431;17547;20973;22052;23646;24577;24714;25033;25715;27437;25721;26757;25948;25832;26101;4333;135
MALDIVES;315;339;366;396;430;467;461;485;564;617;395;602;676;683;656;792;931;958;1125;1205;1234;1286;1390;1484;1703;555;1322
MALI;42;98;75;83;82;86;89;96;110;113;143;153;164;190;160;169;160;134;142;168;159;173;193;203;217;75;168
MALTA;1116;1054;1111;1182;1214;1216;1180;1134;1127;1156;1171;1124;1244;1291;1182;1339;1415;1443;1582;1690;1783;1966;2274;2599;2753;659;968
MARSHALL ISLANDS;5.5;6.2;6.4;6.4;4.6;5.2;5.4;6;7.2;9;9.2;5.8;7.2;6;5.4;4.6;4.6;4.6;NULL;4.9;6.3;5.4;6;6.8;6.1;1.2;0.035
MARTINIQUE;457;477;513;549;564;526;460;447;453;471;484;503;501;481;442;478;497;488;490;490;487;519;536;537;556;312.3;291
MAURITANIA;NULL;NULL;NULL;NULL;24;30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MAURITIUS;422;487;536;558;578;656;660;682;702;719;761;788;907;930;871;935;965;965;993;1038;1151;1275;1342;1399;1383;309;179.8
MEXICO;20241;21395;19351;19392;19043;20641;19810;19667;18665;20618;21915;21353;21606;22931;22346;23290;23403;23403;24151;29346;32093;35079;39291;41313;45024;24824;31860
MICRONESIA, FEDERATED STATES OF;NULL;17.6;17.2;13.4;16.1;20.5;15.3;19.1;18.2;19.3;19;19.1;21.1;25.7;47.5;44.7;35.4;38.3;42.1;35.4;31.2;29.6;NULL;19.2;18;NULL;NULL
MOLDOVA, REPUBLIC OF;32;29;21;19;14;18;16;18;21;69;67;63;70;73;60;64;75;89;95.6;93.9;94.4;121;145;160;174;29;69
MONACO;233;226;259;278;278;300;270;263;235;250;286;313;328;324;265;279;295;292;328;329;331;336;355;347;363;159;218.4
MONGOLIA;NULL;NULL;NULL;165;155;154;187;229;201;301;339;404;452;446;412;456;460;476;418;393;386;404;469;529;577;58.9;33
MONTENEGRO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;136;142;188;272;378;984;1031;1044;1088;1201;1264;1324;1350;1560;1662;1877;2077;2510;351;1554
